,Time,CellName,PRBUsageUL,PRBUsageDL,meanThr_DL,meanThr_UL,maxThr_DL,maxThr_UL,meanUE_DL,meanUE_UL,maxUE_DL,maxUE_UL,maxUE_UL+DL,Unusual
35217,8:30,9ALTE,3.537,0.808,0.148,0.013,4.236,0.111,1.051,1.021,3.0,2.0,5,0
507,18:15,4CLTE,15.259,1.819,0.457,0.039,82.104,0.56,1.172,1.112,5.0,4.0,9,0
6074,7:15,6ALTE,3.335,0.909,0.448,0.032,31.147,0.849,1.071,0.01,3.0,2.0,5,0
12206,21:30,7WLTE,2.728,5.154,0.786,0.085,19.737,1.408,1.374,0.01,6.0,4.0,10,0
29773,18:45,6ULTE,2.526,5.558,1.936,0.116,37.587,1.253,1.445,0.01,6.0,4.0,10,0
11837,11:45,1BLTE,19.303,2.09,0.69,0.142,17.42,1.76,1.303,1.065,6.0,4.0,10,1
30134,20:00,10BLTE,1.99,0.498,0.144,0.02,3.278,0.245,1.015,0.995,3.0,2.0,5,1
27290,5:45,6WLTE,0.303,1.314,0.285,0.025,14.914,0.455,1.051,0.01,3.0,2.0,5,0
28230,9:00,10BLTE,6.366,1.617,0.458,0.045,15.258,0.792,1.132,1.031,4.0,3.0,7,0
16126,1:45,6WLTE,0.404,1.516,0.162,0.017,9.949,0.332,1.041,0.01,4.0,3.0,7,0
19250,5:00,3CLTE,0.303,0.404,0.013,0.005,0.236,0.05,1.021,1.011,2.0,1.0,3,0
21103,7:30,5ALTE,1.095,0.398,0.046,0.01,4.352,0.385,0.995,0.995,2.0,1.0,3,1
27545,0:00,4CLTE,21.221,2.425,0.783,0.085,16.231,0.929,1.324,1.223,6.0,5.0,11,0
35729,3:30,9ALTE,0.505,0.404,0.032,0.021,0.713,0.22,1.011,1.011,2.0,1.0,3,0
19144,22:45,9ALTE,1.718,1.112,0.963,0.019,40.275,0.32,1.041,1.021,3.0,3.0,6,0
12148,8:30,10CLTE,3.436,0.606,0.178,0.017,12.157,0.636,1.051,1.011,4.0,2.0,6,0
30626,15:45,1BLTE,20.917,3.133,1.088,0.141,44.061,2.294,1.485,1.233,7.0,6.0,13,0
15642,5:00,1CLTE,12.637,0.796,0.173,0.024,4.025,0.317,1.134,1.015,4.0,3.0,7,1
14181,17:15,10BLTE,2.189,0.995,0.559,0.048,25.197,0.841,1.035,0.995,3.0,2.0,5,1
12831,21:15,8CLTE,4.648,1.011,0.289,0.036,5.654,0.84,1.061,1.021,3.0,2.0,5,0
33716,21:00,7ALTE,0.303,1.011,0.183,0.024,15.552,0.385,1.112,0.01,4.0,2.0,6,0
35103,22:15,6ULTE,1.294,3.184,0.502,0.036,15.298,0.708,1.134,0.01,4.0,3.0,7,1
30885,3:45,5BLTE,5.659,0.404,0.003,0.005,0.134,0.054,1.021,1.021,2.0,2.0,4,0
28863,17:00,10ALTE,5.861,0.808,0.324,0.025,21.353,0.773,1.051,1.021,3.0,2.0,5,0
23352,22:15,10BLTE,3.284,3.184,2.547,0.074,39.73,0.781,1.045,1.005,3.0,2.0,5,1
30296,17:45,4CLTE,20.298,2.886,0.596,0.116,20.126,2.131,1.353,1.393,6.0,7.0,13,1
22538,11:15,7WLTE,0.697,1.891,0.259,0.041,11.17,2.273,1.035,0.01,3.0,3.0,6,1
10667,16:15,9ALTE,4.876,0.896,0.273,0.029,13.451,0.424,1.055,1.005,4.0,3.0,7,1
3045,4:15,7BLTE,0.101,0.404,0.01,0.007,1.572,0.301,0.98,0.01,3.0,2.0,5,0
35959,18:30,3CLTE,7.175,1.112,0.302,0.041,8.496,0.691,1.101,1.031,4.0,3.0,7,0
30595,9:45,5ALTE,13.238,2.122,0.758,0.062,28.09,2.32,1.162,1.061,4.0,3.0,7,0
15932,2:15,6WLTE,0.606,1.011,0.09,0.023,3.622,1.751,1.071,0.01,4.0,2.0,6,0
9104,9:45,5CLTE,21.928,3.436,0.797,0.103,18.993,0.899,1.425,1.112,7.0,4.0,11,0
17850,7:15,1BLTE,3.638,1.011,0.563,0.03,41.554,0.816,1.091,1.021,4.0,3.0,7,0
30012,13:45,7VLTE,1.718,2.93,0.377,0.059,16.814,1.321,1.213,0.01,5.0,3.0,8,0
25939,14:30,3CLTE,11.014,1.011,0.194,0.039,4.601,0.577,1.162,1.061,4.0,3.0,7,0
12948,18:45,3BLTE,16.673,2.223,0.766,0.064,40.987,0.496,1.223,1.091,5.0,4.0,9,0
25814,22:45,8CLTE,2.388,0.995,0.642,0.025,47.268,0.907,1.035,1.005,3.0,2.0,5,1
24647,17:00,1CLTE,25.373,2.488,0.708,0.103,20.391,0.987,1.592,1.254,8.0,6.0,14,1
15118,8:15,10BLTE,1.99,0.697,0.348,0.026,6.75,0.276,1.005,0.995,2.0,2.0,4,1
783,19:00,6WLTE,4.975,6.07,0.944,0.112,18.863,1.23,1.294,0.01,8.0,4.0,12,1
7366,5:00,8ALTE,5.075,1.095,0.362,0.029,6.497,0.309,1.045,1.005,3.0,2.0,5,1
31536,13:00,4ALTE,6.972,1.112,0.277,0.032,18.394,0.628,1.081,1.021,4.0,2.0,6,0
27247,8:00,7VLTE,0.606,1.92,0.51,0.038,23.748,0.72,1.091,0.01,3.0,3.0,6,0
4511,20:30,4ALTE,7.175,1.819,0.811,0.053,57.391,1.029,1.162,1.041,5.0,3.0,8,0
20525,9:15,3CLTE,8.084,1.213,0.354,0.046,10.967,0.808,1.152,1.051,4.0,3.0,7,0
